,,$X_{min}$,$X_{max}$,$\overline{X}$,$\sigma_X$,N. Obs,$Q_{50\%}$,$Q_{25\%}$,$Q_{75\%}$
,$2000 m^2$,1.00,41.04,3.14,5.09,73.80,1.13,2.44,3.30
$X=D_{min}^{arri\text{è}re}$ (m),$7000 m^2$,1.00,76.21,3.99,9.84,74,1.14,2.45,3.31
,$15000 m^2$,1.00,72.46,3.93,9.42,74,1.14,2.45,3.31
,,,,,,,,,
,$2000 m^2$,0.00,62.32,21.90,16.77,629,8.98,19.53,35.90
$X=D_{min}^{lat\text{é}ral}$ (m),$7000 m^2$,0.00,117.63,45.86,31.74,1150,18.59,45.18,70.13
,$15000 m^2$,0.00,172.73,68.98,46.03,1647,28.88,66.70,104.41
,,,,,,,,,
,$2000 m^2$,0.10,9.58,0.45,1.20,72,0.18,0.27,0.35
$X=TTC_{min}^{arri\text{è}re}$ (s),$7000 m^2$,0.10,9.19,0.47,1.18,73,0.18,0.27,0.35
,$15000 m^2$,0.10,9.13,0.48,1.20,73,0.18,0.26,0.35
,,,,,,,,,
,$2000 m^2$,0.00,4.21,1.11,1.34,226,0.05,0.09,2.35
$X=TTC_{min}^{lat\text{é}ral}$ (s),$7000 m^2$,0.00,7.92,2.73,2.42,363,0.07,2.64,4.84
,$15000 m^2$,0.00,11.65,4.40,3.42,506,0.50,4.40,7.29
,,,,,,,,,
,$2000 m^2$,0.00,6.68,1.85,2.31,81,0.00,0.00,4.13
$X=PET$ (s),$7000 m^2$,0.00,8.53,2.61,2.84,94,0.00,1.09,5.12
,$15000 m^2$,0.00,8.53,2.61,2.84,94,0.00,1.09,5.12
,,,,,,,,,
,$2000 m^2$,68,77,72.87,2.58,15,71,73,75
$X=nInter_{10}^{arri\text{è}re}$,$7000 m^2$,68,77,72.87,2.58,15,71,73,75
,$15000 m^2$,68,77,72.87,2.58,15,71,73,75
,$2000 m^2$,68,77,73.00,2.56,15,72,73,75
$X=nInter_{20}^{arri\text{è}re}$,$7000 m^2$,68,77,73.00,2.56,15,72,73,75
,$15000 m^2$,68,77,73.00,2.56,15,72,73,75
,$2000 m^2$,68,78,73.20,2.56,15,72,73,75
$X=nInter_{50}^{arri\text{è}re}$,$7000 m^2$,68,78,73.20,2.56,15,72,73,75
,$15000 m^2$,68,78,73.20,2.56,15,72,73,75
,$2000 m^2$,195,230,215.27,9.42,15,212,215,223
$X=nInter_{10}^{lat\text{é}ral}$,$7000 m^2$,195,230,215.27,9.42,15,212,215,223
,$15000 m^2$,195,230,215.27,9.42,15,212,215,223
,$2000 m^2$,313,359,327.13,13.07,15,318,322,333
$X=nInter_{20}^{lat\text{é}ral}$,$7000 m^2$,313,359,327.13,13.07,15,318,322,333
,$15000 m^2$,313,359,327.13,13.07,15,318,322,333
,$2000 m^2$,545,629,588.47,21.80,15,578,587,603
$X=nInter_{50}^{lat\text{é}ral}$,$7000 m^2$,595,696,647.53,28.09,15,621,647,663
,$15000 m^2$,595,696,647.53,28.09,15,621,647,663